DATE,DEPTH,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,Oa01_radiance,Oa02_radiance,Oa03_radiance,Oa04_radiance,Oa05_radiance,Oa06_radiance,Oa07_radiance,Oa08_radiance,Oa09_radiance,Oa10_radiance,Oa11_radiance,Oa12_radiance,Oa13_radiance,Oa14_radiance,Oa15_radiance,Oa16_radiance,Oa17_radiance,Oa18_radiance,Oa19_radiance,Oa20_radiance,Oa21_radiance
11/3/2016,0.000248626,-20.66549,-25.3394,37.12200176,23.83000113,0.109000005,1.47135575,1.50607125,1.26947645,0.9907028,0.7571475,0.7041666,0.40441406,0.36814638,0.38516715,0.3093512,0.24994351,0.2375868,0.08246524,0.151396,0.150132015,0.1590801,0.11585594,0.12374145,0.082969755,0.02447835,0.05347947
11/4/2016,0.000248626,-20.67529,-25.36036,37.11400176,23.82200113,0.102000005,2.454584,2.5703616,2.4782124,2.2809204,1.9080117,2.0630846,1.33632472,1.29727772,1.3789935,1.10593054,0.91195605,0.9071496,0.32986096,0.6315376,0.59526027,0.61510972,0.47821388,0.51696428,0.37210678,0.1305512,0.23012378
11/6/2016,0.000248626,-20.67317,-25.38056,37.13200176,23.89200113,0.058000003,1.45740925,1.4592157,1.2026619,0.8812647,0.6561945,0.5806286,0.312102155,0.27172709,0.285309,0.22814651,0.17563598,0.1655908,0.05997472,0.10814,0.1053558,0.108704735,0.07641562,0.07974449,0.052798935,0.01468701,0.03727357
11/7/2016,0.000248626,-20.67307,-25.39358,37.13100176,23.93500114,0.058000003,1.47135575,1.4859903,1.22088405,0.8812647,0.65114685,0.5682748,0.303310545,0.2629617,0.2757987,0.22041273,0.16888075,0.1583912,0.0562263,0.1038144,0.10008801,0.103402065,0.07148558,0.07699468,0.047770465,0.01305512,0.03403239
11/8/2016,0.000248626,-20.67612,-25.3942,37.12600176,23.94800114,0.080000004,1.450436,1.4592157,1.1419214,0.7603068,0.5350509,0.4076754,0.1758322,0.14024624,0.1426545,0.10827292,0.08106276,0.0647964,0.02998736,0.043256,0.04214232,0.04242136,0.0246502,0.02199848,0.01508541,0.00326378,0.00972354
11/9/2016,0.000248626,-20.68635,-25.40471,37.12700176,24.05300114,0.066000003,1.95251,1.9947077,1.79184475,1.4918141,1.1811501,1.173611,0.716516215,0.66616964,0.7132725,0.56456594,0.45935564,0.4463752,0.17617574,0.3330712,0.297630135,0.30225219,0.22924686,0.24473309,0.163425275,0.04406103,0.11020012
11/29/2016,0.000248626,-20.58983,-25.19561,37.00400176,24.52100116,0.088000004,2.90784525,3.0656917,2.915544,2.6725936,2.23610895,2.3781065,1.52094853,1.45505474,1.55493405,1.24513858,1.030172575,1.007944,0.50228828,0.800236,0.671643225,0.686695765,0.52751428,0.56921067,0.445019595,0.1958268,0.25119145
12/19/2016,0.000248626,-20.32284,-25.15026,37.05100176,25.61600122,0.095000005,2.3848515,2.4632632,2.2473985,1.9238066,1.5546762,1.5565788,0.94949388,0.90283517,0.9605403,0.76564422,0.60121547,0.6047664,0.25489256,0.43256,0.39508425,0.40830559,0.30566248,0.32447758,0.21119574,0.07833072,0.13937074
12/29/2016,0.000248626,-20.31256,-25.0816,37.11100176,26.27400125,0.029000001,1.52714175,1.55962045,1.3119948,1.0079825,0.76219515,0.7165204,0.408809865,0.372529075,0.39467745,0.31321809,0.246565895,0.2411866,0.07871682,0.151396,0.15276591,0.161731435,0.12078598,0.12649126,0.07039858,0.01142323,0.05672065
1/8/2017,0.000248626,-20.37814,-25.0335,37.09900176,26.41200125,0.088000004,1.59687425,1.62655695,1.3727353,1.0540617,0.80257635,0.7535818,0.43078889,0.39444255,0.42320835,0.33641943,0.26345397,0.2591856,0.08621366,0.1600472,0.165935385,0.17498811,0.1355761,0.14299012,0.08548399,0.0163189,0.06320301
1/18/2017,0.000258571,-20.57268,-24.99154,37.22100177,26.39300125,0.066000003,1.54108825,1.53284585,1.21481,0.8179058,0.5754321,0.4447368,0.197811225,0.15777702,0.1616751,0.12374048,0.091195605,0.0791956,0.03373578,0.0562328,0.050044005,0.04772403,0.02958024,0.03024791,0.02011388,0.00652756,0.01134413
